Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AAL|American Airlines Group, Inc. - Common Stock|Q|N|N|100|N|N
AAME|Atlantic American Corporation - Common Stock|G|N|N|100|N|N
AAOI|Applied Optoelectronics, Inc. - Common Stock|G|N|N|100|N|N
AAON|AAON, Inc. - Common Stock|Q|N|N|100|N|N
AAPL|Apple Inc. - Common Stock|Q|N|N|100|N|N
AAWW|Atlas Air Worldwide Holdings - Common Stock|Q|N|N|100|N|N
AAXJ|iShares MSCI All Country Asia ex Japan Index Fund|G|N|N|100|Y|N
ABCB|Ameris Bancorp - Common Stock|Q|N|N|100|N|N
ABCL|AbCellera Biologics Inc. - Common Shares|Q|N|N|100|N|N
ABCM|Abcam plc - American Depositary Shares|Q|N|N|100|N|N
ABEO|Abeona Therapeutics Inc. - Common Stock|S|N|D|100|N|N
ABIO|ARCA biopharma, Inc. - Common Stock|S|N|N|100|N|N
ABMD|ABIOMED, Inc. - Common Stock|Q|N|N|100|N|N
ABNB|Airbnb, Inc. - Class A Common Stock|Q|N|N|100|N|N
ABST|Absolute Software Corporation - Common Stock|Q|N|N|100|N|N
ABTX|Allegiance Bancshares, Inc. - Common Stock|G|N|N|100|N|N
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|N|N|100|N|N
ACAC|Acies Acquisition Corp. - Class A Ordinary Share|S|N|N|100|N|N
ACACU|Acies Acquisition Corp. - Unit|S|N|N|100|N|N
ACACW|Acies Acquisition Corp. - Warrant|S|N|N|100|N|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|N|N|100|N|N
ACBI|Atlantic Capital Bancshares, Inc. - Common Stock|Q|N|N|100|N|N
ACCD|Accolade, Inc. - common stock|Q|N|N|100|N|N
ACER|Acer Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ACET|Adicet Bio, Inc. - Common Stock|G|N|N|100|N|N
ACEV|ACE Convergence Acquisition Corp. - Class A Ordinary Shares|S|N|N|100|N|N
ADSK|Autodesk, Inc. - Common Stock|Q|N|N|100|N|N
ADTN|ADTRAN, Inc. - Common Stock|Q|N|N|100|N|N
ADTX|ADiTx Therapeutics, Inc. - Common Stock|S|N|N|100|N|N
ADUS|Addus HomeCare Corporation - Common Stock|Q|N|N|100|N|N
ADV|Advantage Solutions Inc.  - Class A Common Stock|Q|N|N|100|N|N
ADVM|Adverum Biotechnologies, Inc. - Common Stock|G|N|N|100|N|N
ADVWW|Advantage Solutions Inc.  - Warrant|Q|N|N|100|N|N
ADXN|Addex Therapeutics Ltd - American Depositary Shares|S|N|N|100|N|N
ADXS|Advaxis, Inc. - Common Stock|S|N|D|100|N|N
AEACU|Authentic Equity Acquisition Corp. - Unit|S|N|N|100|N|N
AMC|AMC Entertainment Holdings, Inc. - American depositary shares, each representing one common share.|G|N|N|100|N|N
AMZN|Amazon.com, Inc. - Common Stock|Q|N|N|100|N|N
AUB|Atlantic Union Bankshares Corporation - Common Stock|Q|N|N|100|N|N
AUBAP|Atlantic Union Bankshares Corporation - Depositary Shares each representing a 1/400th ownership interest in a share of 6.875%Perpetual Non-Cumulative Preferred Stock, Series A|Q|N|N|100|N|N
AUBN|Auburn National Bancorporation, Inc. - Common Stock|G|N|N|100|N|N
AUDC|AudioCodes Ltd. - Ordinary Shares|Q|N|N|100|N|N
AUPH|Aurinia Pharmaceuticals Inc - Common Shares|G|N|N|100|N|N
AUTL|Autolus Therapeutics plc - American Depositary Shares|Q|N|N|100|N|N
AUTO|AutoWeb, Inc. - Common Stock|S|N|N|100|N|N
AUVI|Applied UV, Inc. - Common Stock|S|N|N|100|N|N
AVAV|AeroVironment, Inc. - Common Stock|Q|N|N|100|N|N
AVCO|Avalon GloboCare Corp. - Common Stock|S|N|N|100|N|N
AVCT|American Virtual Cloud Technologies, Inc.  - Common Stock|S|N|N|100|N|N
AVCTW|American Virtual Cloud Technologies, Inc.  - Warrant expiring 4/7/2020|S|N|N|100|N|N
AVDL|Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share|G|N|N|100|N|N
AVEO|AVEO Pharmaceuticals, Inc. - Common Stock|S|N|N|100|N|N
AVGO|Broadcom Inc. - Common Stock|Q|N|N|100|N|N
AVGOP|Broadcom Inc. - 8.00% Mandatory Convertible Preferred Stock, Series A|Q|N|N|100|N|N
AVGR|Avinger, Inc. - Common Stock|S|N|N|100|N|N
AVID|Avid Technology, Inc. - Common Stock|Q|N|N|100|N|N
AVIR|Atea Pharmaceuticals, Inc. - common stock|Q|N|N|100|N|N
AVNW|Aviat Networks, Inc. - Common Stock|Q|N|N|100|N|N
AVO|Mission Produce, Inc. - Common Stock|Q|N|N|100|N|N
AVRO|AVROBIO, Inc. - Common Stock|Q|N|N|100|N|N
AVT|Avnet, Inc. - Common Stock|Q|N|N|100|N|N
AVXL|Anavex Life Sciences Corp. - Common Stock|S|N|N|100|N|N
AWH|Aspira Women's Health Inc. - Common Stock|S|N|N|100|N|N
AWRE|Aware, Inc. - Common Stock|G|N|N|100|N|N
AXAS|Abraxas Petroleum Corporation - Common Stock|S|N|N|100|N|N
AXDX|Accelerate Diagnostics, Inc. - Common Stock|S|N|N|100|N|N
AXGN|Axogen, Inc. - Common Stock|S|N|N|100|N|N
AXLA|Axcella Health Inc. - Common Stock|G|N|N|100|N|N
AXNX|Axonics Modulation Technologies, Inc. - Common Stock|Q|N|N|100|N|N
AXON|Axon Enterprise, Inc. - Common Stock|Q|N|N|100|N|N
AXSM|Axsome Therapeutics, Inc. - Common Stock|G|N|N|100|N|N
AXTI|AXT Inc - Common Stock|Q|N|N|100|N|N
AY|Atlantica Sustainable Infrastructure plc - Ordinary Shares|Q|N|N|100|N|N
AYLA|Ayala Pharmaceuticals, Inc. - Common Stock|G|N|N|100|N|N
AYRO|AYRO, Inc. - Common Stock|S|N|N|100|N|N
AYTU|Aytu BioScience, Inc. - Common Stock|S|N|N|100|N|N
AZN|AstraZeneca PLC - American Depositary Shares|Q|N|N|100|N|N
AZPN|Aspen Technology, Inc. - Common Stock|Q|N|N|100|N|N
AZRX|AzurRx BioPharma, Inc. - Common Stock|S|N|D|100|N|N
AZYO|Aziyo Biologics, Inc. - Class A Common Stock|G|N|N|100|N|N
BAND|Bandwidth Inc. - Class A Common Stock|Q|N|N|100|N|N
BANF|BancFirst Corporation - Common Stock|Q|N|N|100|N|N
BANFP|BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities|Q|N|N|100|N|N
BANR|Banner Corporation - Common Stock|Q|N|N|100|N|N
BANX|StoneCastle Financial Corp - Common Stock|Q|N|N|100|N|N
BASI|Bioanalytical Systems, Inc. - Common Stock|S|N|N|100|N|N
BATRA|Liberty Media Corporation - Series A Liberty Braves Common Stock|Q|N|N|100|N|N
